candidate_id,candidate_name,candidate_type,region_code,region_name,latitude,longitude,covered_grid_ids
candidate_f8b632f7ef3649db,덕전경로당,마을회관및경로당,48890440,가회면,35.47772959,128.0095656,"[""라마46a20a""]"
candidate_f8f749535cf7d71c,두심경로당,마을회관및경로당,48890440,가회면,35.4855173,128.0211494,"[""라마47a21a""]"
candidate_f91b255ba89cc0c8,창촌경로당,마을회관및경로당,48890320,묘산면,35.6623999,128.1197728,"[""라마56a40b""]"
candidate_f97a47c36ee55d1f,유하경로당,마을회관및경로당,48890360,초계면,35.5415284,128.2481401,"[""라마67b27a"",""라마67b27b""]"
candidate_f97d5afa3a91487d,월계경로당,마을회관및경로당,48890420,쌍백면,35.4359947,128.1819081,"[""라마61b15b""]"
candidate_f9ded4a35395b132,장단봉기경로당,경로당,48890450,대병면,35.5052481,128.0526266,"[""라마50a23a""]"
candidate_fb25a8a40a323597,중회경로당,마을회관및경로당,48890390,청덕면,35.56082172,128.3213462,"[""라마74a29b""]"
candidate_fc4950324f2670d6,기리백마경로당,마을회관및경로당,48890350,율곡면,35.6175014,128.2223229,"[""라마65a35b""]"
candidate_fc68c17c94e4108e,오도경로당,마을회관및경로당,48890440,가회면,35.4460265,128.0250826,"[""라마47b16b""]"
candidate_fd0d51f0b48759c7,남재경로당,마을회관및경로당,48890380,덕곡면,35.62030683,128.3452962,"[""라마76b36a""]"
candidate_fec68d2116092232,우곡경로당,경로당,48890460,용주면,35.57330599,128.078918,"[""라마52a30b""]"
candidate_ff23b61d8ea958f8,금양경로당,마을회관및경로당,48890250,합천읍,35.5921363,128.1733147,"[""라마60b33a"",""라마61a33a""]"
candidate_ff26d12e1889d2e2,대평경로당,마을회관및경로당,48890360,초계면,35.5446143,128.2509619,"[""라마68a27b""]"
