grid_id,nearest_shelter_id,nearest_shelter_distance_m,current_covered,shelter_count
라마47a26b,SHELTER_099,1931.4716235784751,False,0
라마47a27a,SHELTER_099,2431.048122200857,False,0
라마47a27b,SHELTER_099,2930.7690649765896,False,0
라마47a28a,SHELTER_001,3307.3117575682663,False,0
라마47a28b,SHELTER_001,3618.8374091474802,False,0
라마47a29a,SHELTER_001,3969.0877196077686,False,0
라마47a29b,SHELTER_001,4348.715955088024,False,0
라마47a30a,SHELTER_071,4713.641529053126,False,0
라마47a30b,SHELTER_071,4725.525727637227,False,0
라마47a31a,SHELTER_012,4656.514630587535,False,0
라마47a31b,SHELTER_012,4512.426497476591,False,0
라마47a32a,SHELTER_012,4420.504189046985,False,0
라마47a32b,SHELTER_012,4384.030300492349,False,0
라마47a33a,SHELTER_012,4404.382597582563,False,0
라마47a33b,SHELTER_012,4480.786812172747,False,0
라마47a34a,SHELTER_012,4610.457119027819,False,0
라마47a34b,SHELTER_058,4703.91430959663,False,0
라마47a35a,SHELTER_058,4350.982743305305,False,0
라마47a35b,SHELTER_058,4029.3041375717935,False,0
라마47a36a,SHELTER_058,3746.9364597716076,False,0
라마47a36b,SHELTER_058,3513.370722550981,False,0
라마47a37a,SHELTER_058,3338.8643031113165,False,0
라마47a37b,SHELTER_058,3232.9948708749343,False,0
라마47a38a,SHELTER_058,3202.5765932474196,False,0
라마47a38b,SHELTER_058,3249.728886557902,False,0
라마47a39a,SHELTER_058,3371.198427361029,False,0
라마47b14a,SHELTER_016,531.6818367105197,False,0
라마47b14b,SHELTER_016,939.1405777249707,False,0
라마47b15a,SHELTER_034,1012.3894880410015,False,0
라마47b15b,SHELTER_034,1027.6140692735198,False,0
라마47b16a,SHELTER_034,1259.781280715761,False,0
라마47b16b,SHELTER_034,1618.0565735210885,False,0
라마47b17a,SHELTER_007,1549.5587057296234,False,0
라마47b17b,SHELTER_007,1056.1529332512018,False,0
라마47b18a,SHELTER_007,574.2698445223899,False,0
라마47b18b,SHELTER_007,210.03021268479972,True,1
라마47b19a,SHELTER_007,508.36947799122885,False,0
라마47b19b,SHELTER_029,925.837836260688,False,0
라마47b20a,SHELTER_011,1208.393703422023,False,0
라마47b20b,SHELTER_011,840.4185914320427,False,0
라마47b21a,SHELTER_011,672.6005316525149,False,0
라마47b21b,SHELTER_011,835.7508848537777,False,0
라마47b22a,SHELTER_006,834.0396822762716,False,0
라마47b22b,SHELTER_066,789.8063886581389,False,0
라마47b23a,SHELTER_066,490.3348905046798,False,0
라마47b23b,SHELTER_066,597.5470509736128,False,0
라마47b24a,SHELTER_099,820.1752154605504,False,0
라마47b24b,SHELTER_099,593.3799152509305,False,0
라마47b25a,SHELTER_099,729.0487388307057,False,0
라마47b25b,SHELTER_099,1100.420103123386,False,0
라마47b26a,SHELTER_099,1546.0713900481844,False,0
라마47b26b,SHELTER_099,2017.3619117285243,False,0
라마47b27a,SHELTER_099,2499.8322789060085,False,0
라마47b27b,SHELTER_099,2988.0719138648333,False,0
라마47b28a,SHELTER_052,3469.7714738127743,False,0
라마47b28b,SHELTER_052,3884.3971498066808,False,0
라마47b29a,SHELTER_052,4317.148173779498,False,0
라마47b29b,SHELTER_071,4259.649439263869,False,0
라마47b30a,SHELTER_071,4213.880667931645,False,0
라마47b30b,SHELTER_071,4227.170119798244,False,0
라마47b31a,SHELTER_012,4189.233267351917,False,0
라마47b31b,SHELTER_012,4028.4661793964597,False,0
라마47b32a,SHELTER_012,3925.2266366152917,False,0
라마47b32b,SHELTER_012,3884.1045993957587,False,0
라마47b33a,SHELTER_012,3907.0619305688483,False,0
라마47b33b,SHELTER_012,3992.9935286140226,False,0
라마47b34a,SHELTER_012,4137.977973576775,False,0
라마47b34b,SHELTER_012,4336.095720813788,False,0
라마47b35a,SHELTER_058,3997.3658330643075,False,0
라마47b35b,SHELTER_058,3644.608978184425,False,0
라마47b36a,SHELTER_058,3329.777110314613,False,0
라마47b36b,SHELTER_058,3064.580983574712,False,0
라마47b37a,SHELTER_058,2862.847813873515,False,0
라마47b37b,SHELTER_058,2738.6380932706275,False,0
라마47b38a,SHELTER_058,2702.6615782272097,False,0
라마47b38b,SHELTER_058,2758.3728186991343,False,0
라마47b39a,SHELTER_058,2900.493338632382,False,0
라마47b39b,SHELTER_058,3117.2267495264823,False,0
라마48a13b,SHELTER_016,180.3958915658798,True,1
라마48a14a,SHELTER_016,363.100711835668,False,0
라마48a14b,SHELTER_016,855.0681704854233,False,0
라마48a15a,SHELTER_016,1352.9379237123221,False,0
라마48a15b,SHELTER_034,1514.7350404873741,False,0
라마48a16a,SHELTER_034,1680.91654842031,False,0
라마48a16b,SHELTER_034,1963.807180612753,False,0
라마48a17a,SHELTER_007,1563.378918723056,False,0
라마48a17b,SHELTER_007,1076.3273105428123,False,0
라마48a18a,SHELTER_007,610.5794914120323,False,0
라마48a18b,SHELTER_007,295.18494413778694,True,1
라마48a19a,SHELTER_029,328.8608683567057,False,0
라마48a19b,SHELTER_029,535.0392651596337,False,0
라마48a20a,SHELTER_029,982.0308344389167,False,0
라마48a20b,SHELTER_011,532.6483393666358,False,0
라마48a21a,SHELTER_011,172.63348396143098,True,1
라마48a21b,SHELTER_011,525.2526878934447,False,0
라마48a22a,SHELTER_006,391.8604323193932,False,0
라마48a22b,SHELTER_006,377.2339412252791,False,0
라마48a23a,SHELTER_066,136.30443767049758,True,1
