shelter_id,facility_name,road_address,lot_address,region_code,region_name,latitude,longitude,geocoding_status,geocoding_source,geocoding_query,geocoding_query
SHELTER_037,묵촌1구마을회관,경남 합천군 야로면 묵촌길 23-2,경남 합천군 야로면 묵촌리 654-5,48890340,야로면,35.7048743275577,128.153958345188,OK,kakao,경남 합천군 야로면 묵촌길 23-2,경남 합천군 야로면 묵촌길 23-2
SHELTER_038,문림2구경로당,경남 합천군 율곡면 문림길 40-7,경남 합천군 율곡면 문림리 291-1,48890350,율곡면,35.5707238930962,128.192392736689,OK,kakao,경남 합천군 율곡면 문림길 40-7,경남 합천군 율곡면 문림길 40-7
SHELTER_039,박곡원촌경로당,경남 합천군 쌍책면 상신3길 9-6,경남 합천군 쌍책면 상신리 668-4,48890370,쌍책면,35.6352062491446,128.254552184544,OK,kakao,경남 합천군 쌍책면 상신3길 9-6,경남 합천군 쌍책면 상신3길 9-6
SHELTER_040,방곡2구할머니경로당,경남 합천군 용주면 방곡길 7,경남 합천군 용주면 방곡리 522,48890460,용주면,35.5700319048564,128.106111359784,OK,kakao,경남 합천군 용주면 방곡길 7,경남 합천군 용주면 방곡길 7
SHELTER_041,보림경로당,경남 합천군 합천읍 계림3길 54-4,경남 합천군 합천읍 서산리 1301-196,48890250,합천읍,35.5962271569558,128.148798913753,OK,kakao,경남 합천군 합천읍 계림3길 54-4,경남 합천군 합천읍 계림3길 54-4
SHELTER_042,복암경로당,경남 합천군 가회면 복치동길 18-5,경남 합천군 가회면 둔내리 710-1,48890440,가회면,35.4716535733466,128.013903422093,OK,kakao,경남 합천군 가회면 복치동길 18-5,경남 합천군 가회면 복치동길 18-5
SHELTER_043,본천2구경로당,경남 합천군 율곡면 본천1길 71,경남 합천군 율곡면 본천리 183-2,48890350,율곡면,35.5589536656735,128.19811957354,OK,kakao,경남 합천군 율곡면 본천1길 71,경남 합천군 율곡면 본천1길 71
SHELTER_044,본천3구경로당,경남 합천군 율곡면 본천길 353,경남 합천군 율곡면 본천리 657,48890350,율곡면,35.538899969161,128.198536628362,OK,kakao,경남 합천군 율곡면 본천길 353,경남 합천군 율곡면 본천길 353
SHELTER_045,사동마을회관,경남 합천군 합천읍 마령로 270,경남 합천군 합천읍 금양리 759,48890250,합천읍,35.6116899871731,128.165716545938,OK,kakao,경남 합천군 합천읍 마령로 270,경남 합천군 합천읍 마령로 270
SHELTER_046,사촌2구경로당,경남 합천군 가야면 사촌4길 15-3,경남 합천군 가야면 사촌리 997,48890330,가야면,35.7513736723234,128.118115720439,OK,kakao,경남 합천군 가야면 사촌4길 15-3,경남 합천군 가야면 사촌4길 15-3
SHELTER_047,산두경로당,경남 합천군 가회면 산두길 221,경남 합천군 가회면 월계리 418-8,48890440,가회면,35.4851610481169,128.055819178532,OK,kakao,경남 합천군 가회면 산두길 221,경남 합천군 가회면 산두길 221
SHELTER_048,삼가면사무소,경남 합천군 삼가면 삼가1로 76,경남 합천군 삼가면 금리 62-6,48890430,삼가면,35.414607815962,128.121705500292,OK,kakao,경남 합천군 삼가면 삼가1로 76,경남 합천군 삼가면 삼가1로 76
SHELTER_049,상대경로당,경남 합천군 덕곡면 장리1길 25,경남 합천군 덕곡면 장리 1000-3,48890380,덕곡면,35.6283875701978,128.315877643532,OK,kakao,경남 합천군 덕곡면 장리1길 25,경남 합천군 덕곡면 장리1길 25
SHELTER_050,성기1구경로당,경남 합천군 가야면 가조가야로 2249,경남 합천군 가야면 성기리 711-17,48890330,가야면,35.7220826505259,128.103018211786,OK,kakao,경남 합천군 가야면 가조가야로 2249,경남 합천군 가야면 가조가야로 2249
SHELTER_051,성기2구경로당,경남 합천군 가야면 성기2길 76,경남 합천군 가야면 성기리 156-1,48890330,가야면,35.7176739198204,128.10567411609,OK,kakao,경남 합천군 가야면 성기2길 76,경남 합천군 가야면 성기2길 76
SHELTER_052,성리1구경로당,경남 합천군 대병면 성리1길 4-5,경남 합천군 대병면 성리 1249-7,48890450,대병면,35.5237466487868,128.049266637586,OK,kakao,경남 합천군 대병면 성리1길 4-5,경남 합천군 대병면 성리1길 4-5
SHELTER_053,성산복지회관,경남 합천군 쌍책면 성산우회로 8,경남 합천군 쌍책면 성산리 125-2,48890370,쌍책면,35.5748856072508,128.287833968708,OK,kakao,경남 합천군 쌍책면 성산우회로 8,경남 합천군 쌍책면 성산우회로 8
SHELTER_054,소례경로당,경남 합천군 청덕면 소례2길 10,경남 합천군 청덕면 소례리 134-1,48890390,청덕면,35.5996644901332,128.333422106955,OK,kakao,경남 합천군 청덕면 소례2길 10,경남 합천군 청덕면 소례2길 10
SHELTER_055,손목1구할머니경로당,경남 합천군 용주면 황계폭포로 1395,경남 합천군 용주면 손목리 110-5,48890460,용주면,35.5522204121121,128.130039099695,OK,kakao,경남 합천군 용주면 황계폭포로 1395,경남 합천군 용주면 황계폭포로 1395
SHELTER_056,술곡경로당,경남 합천군 쌍백면 하신술곡길 211-1 (술곡경로당),경남 합천군 쌍백면 하신리 708,48890420,쌍백면,35.4681114972678,128.123499272471,OK,kakao,경남 합천군 쌍백면 하신술곡길 211-1 (술곡경로당),경남 합천군 쌍백면 하신술곡길 211-1 (술곡경로당)
SHELTER_057,신거경로당,경남 합천군 대양면 대야로 86,경남 합천군 대양면 양산리 568-5,48890410,대양면,35.503352301046,128.167633908218,OK,kakao,경남 합천군 대양면 대야로 86,경남 합천군 대양면 대야로 86
SHELTER_058,신기마을경로당,경남 합천군 봉산면 압곡2길 40,경남 합천군 봉산면 압곡리 167-1,48890310,봉산면,35.6386243587548,128.057251201155,OK,kakao,경남 합천군 봉산면 압곡2길 40,경남 합천군 봉산면 압곡2길 40
SHELTER_059,신소양경로당,경남 합천군 합천읍 신소양1길 4,경남 합천군 합천읍 영창리 54-2,48890250,합천읍,35.5789916345034,128.167751791554,OK,kakao,경남 합천군 합천읍 신소양1길 4,경남 합천군 합천읍 신소양1길 4
SHELTER_060,쌍책면사무소,경남 합천군 쌍책면 성산큰길 48,경남 합천군 쌍책면 성산리 602,48890370,쌍책면,35.5759660696927,128.282248037699,OK,kakao,경남 합천군 쌍책면 성산큰길 48,경남 합천군 쌍책면 성산큰길 48
SHELTER_061,안계경로당,경남 합천군 쌍백면 안계3길 9,경남 합천군 쌍백면 안계리 886-4,48890420,쌍백면,35.4410310870171,128.186064027337,OK,kakao,경남 합천군 쌍백면 안계3길 9,경남 합천군 쌍백면 안계3길 9
SHELTER_062,안구경로당,경남 합천군 쌍백면 평구1길 52,경남 합천군 쌍백면 평구리 835-2,48890420,쌍백면,35.4350578650784,128.138494203257,OK,kakao,경남 합천군 쌍백면 평구1길 52,경남 합천군 쌍백면 평구1길 52
SHELTER_063,안동경로당,경남 합천군 삼가면 외토1길 13-2,경남 합천군 삼가면 외토리 810,48890430,삼가면,35.3841291312709,128.097499123479,OK,kakao,경남 합천군 삼가면 외토1길 13-2,경남 합천군 삼가면 외토1길 13-2
SHELTER_064,야로리2구경로당,경남 합천군 야로면 돈평길 80-1,경남 합천군 야로면 야로리 89-1,48890340,야로면,35.7156305621223,128.173563583864,OK,kakao,경남 합천군 야로면 돈평길 80-1,경남 합천군 야로면 돈평길 80-1
SHELTER_065,야천1구경로당,경남 합천군 가야면 가야시장로 95,경남 합천군 가야면 야천리 471-1,48890330,가야면,35.7633097701741,128.138809746644,OK,kakao,경남 합천군 가야면 가야시장로 95,경남 합천군 가야면 가야시장로 95
